Accident_ID,Month_Year,Time,Location ,Accident_Severity,Vehicle_Type,Weather_Condition,Road_Type,Number_of_Casualties,Number_of_Fatalities,Light_Condition,Speed_Limit (km/h)
ACC0756,Feb-18,01:52,Champhai Mizoram,Minor,Car,Rainy,State Highway,9,5,Dawn,107
ACC0757,Sep-22,01:27,Champhai Mizoram,Serious,Two-Wheeler,Stormy,Village Road,1,0,Daylight,80
ACC0758,Apr-22,22:16,Gangtok Sikkim,Minor,Bus,Foggy,Urban Road,9,4,Daylight,115
ACC0759,Mar-21,17:57,Amritsar Punjab,Serious,Truck,Hazy,State Highway,2,0,Dusk,44
ACC0760,Feb-18,06:48,Ranchi Jharkhand,Minor,Truck,Hazy,National Highway,5,0,Dusk,67
ACC0761,May-19,21:59,Chandigarh Chandigarh,Serious,Truck,Clear,Village Road,5,5,Daylight,97
ACC0762,Dec-19,16:18,Karaikal Puducherry,Serious,Bus,Hazy,Urban Road,6,5,Dawn,79
ACC0763,Oct-20,03:43,Kolkata West Bengal,Minor,Car,Hazy,State Highway,10,4,Dark,63
ACC0764,Jan-22,07:41,Patiala Punjab,Fatal,Two-Wheeler,Foggy,Urban Road,9,2,Dark,84
ACC0765,Apr-22,03:40,Rourkela Odisha,Serious,Bus,Foggy,National Highway,1,3,Dusk,43
ACC0766,Jul-23,16:57,Hyderabad Telangana,Fatal,Car,Hazy,State Highway,9,4,Dusk,39
ACC0767,Jan-20,08:47,Solan Himachal Pradesh,Fatal,Cycle,Clear,Village Road,4,4,Dark,35
ACC0768,Oct-19,22:10,Ludhiana Punjab,Minor,Truck,Rainy,State Highway,2,3,Daylight,32
ACC0769,Jun-18,09:44,Naharlagun Arunachal Pradesh,Minor,Truck,Hazy,Village Road,9,1,Dusk,95
ACC0770,Sep-19,11:47,Aizawl Mizoram,Minor,Two-Wheeler,Stormy,National Highway,4,2,Dark,82
ACC0771,Jan-18,23:21,Hyderabad Telangana,Minor,Cycle,Stormy,Urban Road,6,5,Dusk,101
ACC0772,Apr-23,23:55,Jammu Jammu and Kashmir,Serious,Pedestrian,Foggy,Urban Road,8,5,Daylight,51
ACC0773,Feb-21,05:46,Dibrugarh Assam,Serious,Two-Wheeler,Stormy,National Highway,0,3,Dusk,88
ACC0774,Feb-22,20:21,Durg Chhattisgarh,Serious,Two-Wheeler,Stormy,National Highway,8,0,Dark,107
ACC0775,Apr-21,05:56,Vadodara Gujarat,Serious,Bus,Rainy,Village Road,7,3,Dark,33
ACC0776,Jan-21,08:34,Chandigarh Chandigarh,Minor,Two-Wheeler,Stormy,Village Road,4,2,Dusk,120
ACC0777,Feb-21,08:00,Mysore Karnataka,Minor,Car,Stormy,Village Road,7,0,Dusk,72
ACC0778,Jan-18,23:43,Vadodara Gujarat,Fatal,Bus,Hazy,Urban Road,4,3,Dawn,92
ACC0779,Dec-20,08:14,Ambala Haryana,Serious,Auto-Rickshaw,Stormy,Urban Road,8,4,Daylight,63
ACC0780,May-21,18:55,Dwarka Delhi,Serious,Truck,Hazy,Village Road,8,2,Dusk,66
ACC0781,Dec-21,15:01,Jabalpur Madhya Pradesh,Fatal,Auto-Rickshaw,Rainy,Urban Road,9,3,Dusk,69
ACC0782,Dec-21,15:07,Vasco da Gama Goa,Minor,Pedestrian,Stormy,Village Road,5,3,Dark,59
ACC0783,Jan-19,02:34,Bishnupur Manipur,Serious,Pedestrian,Foggy,Village Road,6,0,Daylight,30
ACC0784,Jun-18,14:45,Jamshedpur Jharkhand,Minor,Auto-Rickshaw,Clear,State Highway,8,1,Daylight,35
ACC0785,Oct-18,14:17,Tura Meghalaya,Minor,Pedestrian,Rainy,State Highway,9,1,Dark,57
ACC0786,Mar-22,13:41,Namchi Sikkim,Minor,Car,Rainy,State Highway,9,1,Dawn,53
ACC0787,Aug-20,01:50,New Delhi Delhi,Fatal,Cycle,Foggy,Village Road,2,2,Dusk,96
ACC0788,May-21,18:24,Kolkata West Bengal,Fatal,Two-Wheeler,Clear,State Highway,1,4,Dawn,38
ACC0789,Dec-21,17:36,Gangtok Sikkim,Minor,Truck,Rainy,State Highway,2,4,Dark,84
ACC0790,Jul-22,20:52,Durgapur West Bengal,Minor,Bus,Hazy,Village Road,0,4,Dark,53
ACC0791,May-21,16:04,Bilaspur Chhattisgarh,Serious,Cycle,Foggy,National Highway,5,1,Daylight,45
ACC0792,Aug-23,06:12,Shimla Himachal Pradesh,Minor,Two-Wheeler,Foggy,National Highway,2,3,Daylight,49
ACC0793,Dec-21,16:30,Dehradun Uttarakhand,Fatal,Pedestrian,Hazy,Urban Road,7,1,Daylight,102
ACC0794,Oct-18,01:09,New Delhi Delhi,Serious,Cycle,Hazy,State Highway,4,4,Dusk,111
ACC0795,Dec-20,10:20,Madurai Tamil Nadu,Serious,Two-Wheeler,Stormy,Urban Road,10,2,Dark,90
ACC0796,Jan-22,17:03,Mangan Sikkim,Serious,Pedestrian,Hazy,State Highway,9,5,Dark,90
ACC0797,Jul-22,18:02,Gyalshing Sikkim,Serious,Truck,Clear,Urban Road,8,1,Dark,78
ACC0798,Apr-21,01:39,Pune Maharashtra,Fatal,Cycle,Hazy,National Highway,10,1,Dawn,112
ACC0799,Jun-18,11:11,Panaji Goa,Minor,Pedestrian,Stormy,Urban Road,4,2,Dark,46
ACC0800,Aug-23,18:08,Tirupati Andhra Pradesh,Serious,Bus,Stormy,Village Road,1,1,Dawn,45
ACC0801,Jul-22,19:23,Puducherry Puducherry,Minor,Truck,Foggy,Village Road,9,0,Dawn,78
ACC0802,Mar-20,19:29,Tura Meghalaya,Serious,Two-Wheeler,Foggy,State Highway,10,2,Dark,119
ACC0803,Nov-23,00:07,Nizamabad Telangana,Serious,Pedestrian,Rainy,Urban Road,6,3,Dusk,37
ACC0804,Jun-20,21:55,Madurai Tamil Nadu,Serious,Truck,Foggy,Urban Road,3,1,Daylight,58
ACC0805,Jul-20,23:44,Champhai Mizoram,Serious,Cycle,Rainy,State Highway,7,4,Dark,109
ACC0806,Dec-18,00:27,Visakhapatnam Andhra Pradesh,Minor,Auto-Rickshaw,Foggy,Village Road,1,5,Dark,86
ACC0807,Jul-23,08:58,Varanasi Uttar Pradesh,Minor,Pedestrian,Foggy,Urban Road,1,3,Dawn,30
ACC0808,Apr-18,09:55,Chandigarh Chandigarh,Minor,Pedestrian,Foggy,Urban Road,9,2,Daylight,81
ACC0809,Feb-23,16:59,Lunglei Mizoram,Minor,Bus,Foggy,Urban Road,2,2,Dusk,56
ACC0810,Sep-22,08:08,Cuttack Odisha,Fatal,Car,Rainy,Urban Road,6,3,Daylight,53
ACC0811,Dec-18,18:00,Warangal Telangana,Minor,Bus,Clear,State Highway,8,2,Daylight,114
ACC0812,Oct-21,13:08,Bangalore Karnataka,Minor,Pedestrian,Stormy,Urban Road,2,3,Dawn,97
ACC0813,Jan-22,16:40,Korba Chhattisgarh,Serious,Car,Hazy,Village Road,8,2,Dawn,109
ACC0814,Jul-23,07:11,Thrissur Kerala,Serious,Cycle,Rainy,National Highway,2,0,Dawn,96
ACC0815,Aug-18,11:19,Indore Madhya Pradesh,Minor,Cycle,Hazy,Urban Road,0,4,Daylight,46
ACC0816,May-18,19:26,Rohini Delhi,Serious,Bus,Rainy,State Highway,0,1,Daylight,30
ACC0817,Feb-23,23:48,Karaikal Puducherry,Minor,Two-Wheeler,Stormy,Village Road,6,5,Dusk,55
ACC0818,Apr-21,21:09,Vadodara Gujarat,Fatal,Cycle,Stormy,Urban Road,3,1,Daylight,47
ACC0819,Oct-21,05:12,Dwarka Delhi,Serious,Two-Wheeler,Foggy,Village Road,8,4,Daylight,72
ACC0820,Mar-22,07:43,Siliguri West Bengal,Minor,Pedestrian,Rainy,Village Road,6,0,Dark,41
ACC0821,Apr-20,07:27,Kolkata West Bengal,Minor,Two-Wheeler,Hazy,National Highway,8,0,Dark,77
ACC0822,Dec-23,01:50,Gaya Bihar,Serious,Bus,Hazy,State Highway,10,1,Dusk,116
ACC0823,Apr-22,17:33,Pune Maharashtra,Minor,Pedestrian,Rainy,State Highway,7,1,Dark,78
ACC0824,Apr-23,23:14,Lunglei Mizoram,Fatal,Two-Wheeler,Stormy,National Highway,4,5,Dawn,46
ACC0825,Aug-20,00:49,Bokaro Jharkhand,Minor,Bus,Stormy,Urban Road,1,0,Daylight,86
ACC0826,Mar-20,06:01,Baramulla Jammu and Kashmir,Minor,Bus,Hazy,National Highway,2,1,Daylight,87
ACC0827,Jul-20,13:31,Pasighat Arunachal Pradesh,Minor,Car,Clear,Urban Road,8,2,Dawn,110
ACC0828,Dec-20,05:34,Bhagalpur Bihar,Serious,Cycle,Hazy,Urban Road,4,2,Daylight,43
ACC0829,Jun-23,07:25,Udaipur Rajasthan,Fatal,Cycle,Foggy,Urban Road,5,2,Dawn,64
ACC0830,Dec-22,11:41,Ahmedabad Gujarat,Fatal,Auto-Rickshaw,Foggy,Urban Road,3,2,Dark,117
ACC0831,Feb-19,17:31,Pune Maharashtra,Minor,Car,Rainy,National Highway,10,2,Daylight,60
ACC0832,Jun-21,01:42,Surat Gujarat,Fatal,Two-Wheeler,Clear,Urban Road,9,0,Dawn,37
ACC0833,Dec-21,08:32,Kolkata West Bengal,Serious,Truck,Stormy,Village Road,5,1,Dawn,100
ACC0834,Feb-22,11:27,Pune Maharashtra,Fatal,Car,Stormy,State Highway,6,2,Dawn,44
ACC0835,Nov-21,19:51,Nongstoin Meghalaya,Fatal,Truck,Rainy,State Highway,0,3,Dark,98
ACC0836,Jan-20,19:22,Madurai Tamil Nadu,Minor,Pedestrian,Hazy,Village Road,2,2,Dark,114
ACC0837,Dec-20,09:48,Visakhapatnam Andhra Pradesh,Minor,Auto-Rickshaw,Stormy,State Highway,10,1,Daylight,80
ACC0838,Nov-19,21:30,Mapusa Goa,Serious,Car,Stormy,State Highway,8,2,Daylight,114
ACC0839,Mar-21,11:52,Puducherry Puducherry,Minor,Two-Wheeler,Hazy,State Highway,2,5,Dusk,30
ACC0840,Nov-22,09:44,Jalandhar Punjab,Fatal,Two-Wheeler,Foggy,State Highway,7,0,Dawn,94
ACC0841,Jun-20,22:16,Jamshedpur Jharkhand,Serious,Bus,Foggy,Village Road,8,2,Dark,120
ACC0842,Sep-19,16:12,Puri Odisha,Serious,Bus,Hazy,Urban Road,6,5,Daylight,44
ACC0843,Mar-22,09:30,Warangal Telangana,Serious,Auto-Rickshaw,Stormy,Village Road,10,2,Dawn,82
ACC0844,Apr-19,05:36,Margao Goa,Fatal,Pedestrian,Hazy,National Highway,0,1,Dusk,106
ACC0845,Mar-19,15:33,Kochi Kerala,Minor,Pedestrian,Rainy,National Highway,7,5,Dusk,38
ACC0846,Mar-18,05:31,Bhubaneswar Odisha,Minor,Car,Clear,Urban Road,1,1,Daylight,33
ACC0847,Dec-20,13:54,Coimbatore Tamil Nadu,Fatal,Bus,Hazy,Village Road,8,4,Dusk,80
ACC0848,Nov-22,13:07,Visakhapatnam Andhra Pradesh,Fatal,Auto-Rickshaw,Stormy,State Highway,10,5,Dark,105
ACC0849,Oct-18,14:56,Thrissur Kerala,Serious,Truck,Foggy,Village Road,8,2,Dusk,101
ACC0850,Apr-21,06:26,Tirupati Andhra Pradesh,Minor,Pedestrian,Stormy,Village Road,4,4,Daylight,106
ACC0851,Aug-21,16:13,Dimapur Nagaland,Minor,Bus,Hazy,State Highway,1,2,Dark,55
ACC0852,Sep-21,07:29,Vasco da Gama Goa,Minor,Auto-Rickshaw,Clear,State Highway,8,5,Dark,36
ACC0853,Apr-21,11:23,Coimbatore Tamil Nadu,Minor,Truck,Stormy,Urban Road,7,0,Dusk,30
ACC0854,Apr-20,02:23,Durg Chhattisgarh,Minor,Car,Rainy,State Highway,5,4,Daylight,49
ACC0855,May-23,08:34,Naharlagun Arunachal Pradesh,Minor,Pedestrian,Rainy,State Highway,2,4,Dusk,77
ACC0856,Oct-18,13:27,Mangan Sikkim,Fatal,Cycle,Hazy,State Highway,5,1,Dusk,81
ACC0857,Feb-20,20:53,Aizawl Mizoram,Minor,Cycle,Rainy,State Highway,3,2,Daylight,83
ACC0858,Mar-20,15:03,Rohini Delhi,Serious,Auto-Rickshaw,Clear,State Highway,1,5,Dawn,97
ACC0859,Mar-22,16:33,Karimnagar Telangana,Minor,Pedestrian,Hazy,Urban Road,6,2,Dusk,76
ACC0860,Nov-19,20:56,Pasighat Arunachal Pradesh,Serious,Pedestrian,Clear,National Highway,3,2,Daylight,50
ACC0861,Nov-20,08:12,Lucknow Uttar Pradesh,Minor,Pedestrian,Clear,Village Road,9,4,Daylight,75
ACC0862,May-21,02:14,Ranchi Jharkhand,Serious,Truck,Stormy,Urban Road,3,4,Dawn,75
ACC0863,Oct-23,06:39,Gyalshing Sikkim,Minor,Auto-Rickshaw,Rainy,State Highway,1,2,Dark,58
ACC0864,Mar-20,03:05,Jorhat Assam,Minor,Pedestrian,Stormy,National Highway,2,2,Dawn,45
ACC0865,Feb-23,19:40,Kozhikode Kerala,Fatal,Two-Wheeler,Hazy,Village Road,0,1,Dark,75
ACC0866,Sep-22,15:44,Varanasi Uttar Pradesh,Serious,Cycle,Clear,National Highway,0,0,Dark,92
ACC0867,Dec-22,20:14,Bangalore Karnataka,Minor,Two-Wheeler,Stormy,Village Road,5,3,Dusk,76
ACC0868,Aug-21,11:52,Karaikal Puducherry,Minor,Pedestrian,Stormy,Village Road,4,4,Dawn,100
ACC0869,May-23,13:06,Warangal Telangana,Serious,Auto-Rickshaw,Rainy,Village Road,3,5,Dark,55
ACC0870,Feb-20,08:52,Thiruvananthapuram Kerala,Fatal,Bus,Stormy,National Highway,2,2,Dawn,105
ACC0871,Mar-22,16:36,Surat Gujarat,Minor,Two-Wheeler,Hazy,National Highway,6,2,Dark,100
ACC0872,Jun-21,16:41,Cuttack Odisha,Serious,Bus,Rainy,Urban Road,5,2,Daylight,82
ACC0873,Oct-23,00:28,Dwarka Delhi,Serious,Car,Hazy,Village Road,10,5,Daylight,115
ACC0874,Feb-20,08:30,Panaji Goa,Fatal,Auto-Rickshaw,Rainy,Urban Road,9,3,Dawn,114
ACC0875,Apr-18,06:18,Surat Gujarat,Minor,Bus,Stormy,State Highway,1,5,Dark,31
ACC0876,Mar-19,02:10,Kohima Nagaland,Fatal,Cycle,Stormy,Village Road,8,0,Dark,46
ACC0877,Jan-22,21:10,Surat Gujarat,Serious,Truck,Rainy,State Highway,6,1,Dawn,110
ACC0878,Jun-18,16:22,Panaji Goa,Fatal,Truck,Stormy,Village Road,3,1,Dawn,94
ACC0879,Aug-23,11:24,Lunglei Mizoram,Fatal,Cycle,Clear,Urban Road,9,1,Dark,100
ACC0880,Jun-18,22:37,Dehradun Uttarakhand,Serious,Auto-Rickshaw,Rainy,Village Road,9,0,Dark,102
ACC0881,Jun-20,12:06,Bhopal Madhya Pradesh,Serious,Cycle,Foggy,State Highway,10,2,Dark,97
ACC0882,Oct-22,11:32,Tura Meghalaya,Minor,Two-Wheeler,Stormy,Urban Road,2,0,Daylight,76
ACC0883,Jul-20,06:13,Dimapur Nagaland,Fatal,Auto-Rickshaw,Rainy,Urban Road,5,0,Dusk,75
ACC0884,Jan-21,05:00,Dwarka Delhi,Minor,Pedestrian,Stormy,Village Road,8,5,Dark,49
ACC0885,Sep-23,14:20,Dwarka Delhi,Minor,Truck,Rainy,Urban Road,10,0,Dawn,113
ACC0886,May-20,23:17,Amritsar Punjab,Minor,Pedestrian,Hazy,State Highway,10,0,Dusk,61
ACC0887,Nov-23,19:28,Kanpur Uttar Pradesh,Minor,Truck,Rainy,Village Road,8,0,Dawn,43
ACC0888,Jul-20,21:15,New Delhi Delhi,Serious,Car,Clear,Urban Road,8,0,Dusk,81
ACC0889,Nov-18,21:37,Gwalior Madhya Pradesh,Fatal,Two-Wheeler,Hazy,State Highway,1,2,Dawn,41
ACC0890,Mar-22,06:30,Nagpur Maharashtra,Serious,Truck,Clear,National Highway,10,3,Dusk,86
ACC0891,Sep-19,22:38,Jorhat Assam,Serious,Bus,Rainy,State Highway,6,5,Daylight,42
ACC0892,Jan-22,18:51,Bokaro Jharkhand,Minor,Pedestrian,Stormy,Village Road,10,4,Dawn,86
ACC0893,Oct-23,03:27,Madurai Tamil Nadu,Fatal,Pedestrian,Foggy,Village Road,5,5,Dusk,99
ACC0894,Jan-20,01:14,Amritsar Punjab,Minor,Truck,Clear,Village Road,10,2,Dusk,89
ACC0895,Jan-20,17:33,Gyalshing Sikkim,Minor,Cycle,Stormy,State Highway,2,1,Daylight,89
ACC0896,Nov-23,05:54,Madurai Tamil Nadu,Minor,Auto-Rickshaw,Clear,State Highway,10,1,Daylight,31
ACC0897,Jan-20,10:56,New Delhi Delhi,Fatal,Car,Rainy,Village Road,1,1,Dusk,75
ACC0898,Oct-19,19:31,Tura Meghalaya,Minor,Truck,Hazy,State Highway,10,0,Dawn,103
ACC0899,Sep-23,15:22,Margao Goa,Serious,Car,Rainy,National Highway,6,3,Dusk,113
ACC0900,Feb-21,00:23,Ludhiana Punjab,Fatal,Cycle,Hazy,Urban Road,8,4,Dusk,71
ACC0901,Dec-18,11:57,Naharlagun Arunachal Pradesh,Minor,Cycle,Rainy,Urban Road,7,1,Dusk,35
ACC0902,Aug-23,12:40,Dehradun Uttarakhand,Minor,Pedestrian,Clear,State Highway,0,5,Dark,79
ACC0903,Dec-20,04:51,Lunglei Mizoram,Fatal,Auto-Rickshaw,Hazy,State Highway,7,1,Daylight,54
ACC0904,Dec-23,02:42,Mandi Himachal Pradesh,Fatal,Auto-Rickshaw,Clear,National Highway,2,1,Daylight,86
ACC0905,Mar-21,04:35,Kolkata West Bengal,Minor,Cycle,Hazy,Village Road,10,2,Daylight,32
ACC0906,Feb-22,04:41,Dimapur Nagaland,Minor,Cycle,Stormy,Urban Road,8,0,Daylight,57
ACC0907,Dec-23,12:51,Karaikal Puducherry,Minor,Cycle,Rainy,National Highway,7,0,Daylight,104
ACC0908,May-18,00:25,Visakhapatnam Andhra Pradesh,Minor,Bus,Foggy,Urban Road,6,0,Dark,86
ACC0909,Apr-18,15:50,Silchar Assam,Serious,Pedestrian,Clear,Village Road,4,0,Dusk,119
ACC0910,Jan-22,06:48,Bhopal Madhya Pradesh,Serious,Cycle,Hazy,Village Road,3,1,Dusk,110
ACC0911,May-21,00:14,Mandi Himachal Pradesh,Serious,Auto-Rickshaw,Clear,National Highway,5,3,Dawn,99
ACC0912,Aug-20,19:14,Bokaro Jharkhand,Minor,Truck,Rainy,Urban Road,10,2,Dark,79
ACC0913,May-19,10:35,Rourkela Odisha,Minor,Cycle,Hazy,State Highway,5,1,Dusk,45
ACC0914,Jan-18,08:38,Bhubaneswar Odisha,Fatal,Car,Rainy,State Highway,9,3,Dawn,88
ACC0915,Jul-21,21:54,Karimnagar Telangana,Serious,Auto-Rickshaw,Foggy,Village Road,2,4,Dawn,76
ACC0916,Apr-21,01:39,Dharmanagar Tripura,Minor,Truck,Rainy,State Highway,7,5,Dark,81
ACC0917,Jul-18,12:16,Vasco da Gama Goa,Fatal,Bus,Hazy,Urban Road,1,1,Daylight,98
ACC0918,Nov-23,11:52,Korba Chhattisgarh,Fatal,Car,Rainy,Urban Road,3,3,Dawn,65
ACC0919,Aug-19,11:43,Jalandhar Punjab,Fatal,Pedestrian,Rainy,Village Road,0,3,Dark,108
ACC0920,Oct-22,04:58,Lucknow Uttar Pradesh,Serious,Two-Wheeler,Rainy,Village Road,8,5,Dusk,112
ACC0921,Apr-22,19:07,Hyderabad Telangana,Fatal,Cycle,Clear,Village Road,0,3,Dusk,118
ACC0922,Feb-23,04:25,Dimapur Nagaland,Serious,Bus,Clear,State Highway,9,5,Dark,81
ACC0923,Jan-19,17:02,Thiruvananthapuram Kerala,Minor,Pedestrian,Stormy,Urban Road,6,2,Dusk,91
ACC0924,Oct-22,00:22,Baramulla Jammu and Kashmir,Serious,Bus,Rainy,Urban Road,0,1,Dusk,95
ACC0925,May-19,22:55,Dharamshala Himachal Pradesh,Fatal,Car,Rainy,State Highway,0,1,Daylight,37
ACC0926,Feb-18,15:58,Rohini Delhi,Serious,Bus,Rainy,Urban Road,3,3,Daylight,81
ACC0927,Mar-18,15:42,Mangalore Karnataka,Fatal,Bus,Clear,State Highway,2,2,Daylight,89
ACC0928,Aug-19,05:26,Mangalore Karnataka,Serious,Two-Wheeler,Clear,National Highway,3,5,Dusk,76
ACC0929,Jun-22,01:03,Gwalior Madhya Pradesh,Minor,Car,Foggy,Urban Road,7,3,Dusk,32
ACC0930,Nov-21,19:25,Bishnupur Manipur,Fatal,Bus,Foggy,Village Road,6,1,Dark,104
ACC0931,Oct-19,10:23,Surat Gujarat,Serious,Pedestrian,Rainy,State Highway,4,0,Daylight,107
ACC0932,Oct-18,04:24,Jaipur Rajasthan,Minor,Bus,Rainy,Urban Road,9,2,Dusk,79
ACC0933,Apr-21,05:29,Madurai Tamil Nadu,Minor,Auto-Rickshaw,Clear,National Highway,1,5,Dusk,84
ACC0934,Apr-18,06:45,Mysore Karnataka,Fatal,Car,Hazy,Urban Road,0,3,Dark,98
ACC0935,Jan-21,02:56,Itanagar Arunachal Pradesh,Serious,Truck,Foggy,State Highway,1,4,Dark,51
ACC0936,Feb-23,12:05,Haridwar Uttarakhand,Minor,Pedestrian,Stormy,Village Road,9,4,Dusk,66
ACC0937,Jun-18,03:58,Patiala Punjab,Minor,Truck,Rainy,National Highway,8,1,Dusk,74
ACC0938,Oct-19,16:00,Bhilai Chhattisgarh,Fatal,Cycle,Clear,National Highway,0,1,Daylight,33
ACC0939,Aug-23,07:19,Gangtok Sikkim,Serious,Car,Stormy,State Highway,0,1,Dusk,59
ACC0940,Dec-22,17:58,Chandigarh Chandigarh,Serious,Auto-Rickshaw,Clear,Urban Road,7,2,Daylight,64
ACC0941,Feb-23,10:44,Dwarka Delhi,Fatal,Two-Wheeler,Rainy,Urban Road,7,2,Dawn,62
ACC0942,Oct-21,03:52,Siliguri West Bengal,Minor,Two-Wheeler,Hazy,National Highway,7,4,Daylight,51
ACC0943,Aug-18,07:49,Raipur Chhattisgarh,Minor,Auto-Rickshaw,Clear,State Highway,9,3,Dark,40
ACC0944,Aug-18,01:43,Haridwar Uttarakhand,Minor,Pedestrian,Hazy,Village Road,1,4,Dawn,44
ACC0945,May-21,19:55,Pune Maharashtra,Fatal,Auto-Rickshaw,Stormy,Urban Road,9,4,Dark,85
ACC0946,Feb-22,03:53,Bishnupur Manipur,Fatal,Car,Foggy,National Highway,10,3,Daylight,114
ACC0947,Mar-20,16:29,Panaji Goa,Fatal,Two-Wheeler,Foggy,State Highway,3,1,Dusk,81
ACC0948,Jul-22,05:35,Ambala Haryana,Minor,Two-Wheeler,Hazy,State Highway,9,2,Dusk,33
ACC0949,Nov-22,00:13,Kanpur Uttar Pradesh,Fatal,Car,Stormy,State Highway,5,2,Dusk,72
ACC0950,Mar-20,05:53,Srinagar Jammu and Kashmir,Minor,Truck,Rainy,State Highway,10,2,Dark,112
ACC0951,Mar-20,07:38,Guwahati Assam,Fatal,Two-Wheeler,Stormy,Village Road,9,3,Dusk,38
ACC0952,Jan-18,13:18,Kohima Nagaland,Fatal,Auto-Rickshaw,Foggy,Village Road,1,3,Dusk,44
ACC0953,Nov-22,07:41,Ahmedabad Gujarat,Minor,Bus,Rainy,National Highway,9,4,Dawn,117
ACC0954,Jul-23,21:57,Varanasi Uttar Pradesh,Minor,Two-Wheeler,Rainy,Urban Road,4,5,Daylight,44
ACC0955,Jan-21,00:49,Thrissur Kerala,Fatal,Truck,Clear,State Highway,1,4,Daylight,106
ACC0956,May-20,07:19,Baramulla Jammu and Kashmir,Serious,Cycle,Stormy,Urban Road,3,1,Dark,94
ACC0957,Aug-23,04:09,Nagpur Maharashtra,Minor,Truck,Clear,National Highway,1,2,Dark,46
ACC0958,Jul-18,22:52,Kanpur Uttar Pradesh,Fatal,Pedestrian,Stormy,National Highway,0,0,Dark,53
ACC0959,Sep-19,17:29,Patiala Punjab,Minor,Cycle,Stormy,State Highway,3,4,Dawn,36
ACC0960,May-20,04:44,Jodhpur Rajasthan,Fatal,Truck,Foggy,Urban Road,6,1,Dark,113
ACC0961,Oct-21,22:53,Surat Gujarat,Minor,Auto-Rickshaw,Hazy,Urban Road,8,1,Dusk,66
ACC0962,Nov-20,17:57,Aizawl Mizoram,Minor,Bus,Foggy,State Highway,10,2,Dark,89
ACC0963,Dec-19,08:22,Kochi Kerala,Fatal,Cycle,Hazy,State Highway,4,1,Dark,63
ACC0964,Mar-18,08:51,Kanpur Uttar Pradesh,Fatal,Cycle,Clear,Urban Road,7,5,Daylight,81
ACC0965,Feb-19,21:37,Bhubaneswar Odisha,Fatal,Auto-Rickshaw,Hazy,National Highway,2,3,Daylight,37
ACC0966,Dec-20,21:29,Haldwani Uttarakhand,Fatal,Bus,Clear,Village Road,6,0,Dark,39
ACC0967,Jan-21,10:25,Mumbai Maharashtra,Serious,Car,Foggy,Urban Road,4,4,Dusk,72
ACC0968,Aug-21,06:36,Indore Madhya Pradesh,Fatal,Two-Wheeler,Rainy,Urban Road,4,2,Dawn,54
ACC0969,Dec-23,13:40,Kohima Nagaland,Minor,Car,Stormy,Village Road,1,5,Dusk,95
ACC0970,Jan-20,19:51,Margao Goa,Minor,Auto-Rickshaw,Stormy,Village Road,9,1,Daylight,114
ACC0971,May-20,12:27,Anantnag Jammu and Kashmir,Serious,Bus,Rainy,Village Road,6,0,Dark,112
ACC0972,Feb-20,13:13,Thrissur Kerala,Minor,Bus,Rainy,State Highway,3,0,Dusk,57
ACC0973,Jan-18,06:03,Mangalore Karnataka,Minor,Cycle,Foggy,Village Road,9,0,Dawn,100
ACC0974,Jul-20,09:22,New Delhi Delhi,Fatal,Truck,Rainy,State Highway,1,2,Dawn,87
ACC0975,Nov-22,19:32,Jalandhar Punjab,Fatal,Truck,Stormy,Village Road,3,0,Dawn,32
ACC0976,May-23,05:08,Udaipur Tripura,Fatal,Cycle,Clear,Urban Road,7,2,Dark,81
ACC0977,Oct-19,15:16,Jodhpur Rajasthan,Serious,Bus,Hazy,Village Road,8,3,Dark,39
ACC0978,Jul-21,20:34,Kanpur Uttar Pradesh,Serious,Pedestrian,Rainy,National Highway,6,1,Dark,54
ACC0979,Aug-20,14:50,Puducherry Puducherry,Minor,Two-Wheeler,Clear,Urban Road,6,5,Dusk,41
ACC0980,Aug-21,02:04,Jodhpur Rajasthan,Fatal,Pedestrian,Stormy,National Highway,5,1,Dawn,106
ACC0981,Mar-19,13:38,Chandigarh Chandigarh,Serious,Two-Wheeler,Stormy,Village Road,1,4,Dark,39
ACC0982,Mar-22,23:32,Silchar Assam,Minor,Cycle,Stormy,Village Road,2,4,Dawn,36
ACC0983,Aug-22,04:46,Nongstoin Meghalaya,Fatal,Cycle,Foggy,Urban Road,1,5,Dark,103
ACC0984,Mar-23,07:34,Lucknow Uttar Pradesh,Serious,Car,Rainy,State Highway,6,2,Dusk,80
ACC0985,May-20,03:23,Lucknow Uttar Pradesh,Minor,Two-Wheeler,Foggy,Village Road,5,0,Daylight,44
ACC0986,Jun-20,12:50,Kozhikode Kerala,Fatal,Pedestrian,Stormy,Urban Road,2,1,Dusk,63
ACC0987,Feb-21,05:00,Nizamabad Telangana,Minor,Car,Clear,Village Road,4,0,Dark,53
ACC0988,Aug-20,19:46,Bhopal Madhya Pradesh,Fatal,Auto-Rickshaw,Clear,Village Road,5,4,Dark,60
ACC0989,Jul-19,21:19,Solan Himachal Pradesh,Minor,Truck,Stormy,National Highway,9,0,Dark,108
ACC0990,Jun-19,01:48,Jorhat Assam,Serious,Truck,Foggy,National Highway,0,4,Dusk,36
ACC0991,Dec-23,02:51,Jowai Meghalaya,Fatal,Cycle,Clear,Urban Road,0,4,Daylight,38
